year,state,rate,bracket
2021,Alabama,2.00%,$0
2021,"(a, b, c)",4.00%,$500
2021,,5.00%,"$3,000"
2021,,,
2021,Alaska,none,n.a.
2021,,,
2021,Arizona,2.59%,$0
2021,"(d, f, g, w, pp)",3.34%,"$27,272"
2021,,4.17%,"$54,544"
2021,,4.50%,"$163,632"
2021,,8.00%,"$250,000"
2021,,,
2021,Arkansas,2.00%,$0
2021,"(h, i, o, dd, oo)",4.00%,"$4,000"
2021,,5.90%,"$8,000"
2021,,,
2021,California,1.00%,$0
2021,"(a, i, k, l, m, n, o)",2.00%,"$8,932"
2021,,4.00%,"$21,175"
2021,,6.00%,"$33,421"
2021,,8.00%,"$46,394"
2021,,9.30%,"$58,634"
2021,,10.30%,"$299,508"
2021,,11.30%,"$359,407"
2021,,12.30%,"$599,012"
2021,,13.30%,"$1,000,000"
2021,,,
2021,Colorado,4.55%,$0
2021,,,
2021,Connecticut,3.00%,$0
2021,"(j, q, r, s)",5.00%,"$10,000"
2021,,5.50%,"$50,000"
2021,,6.00%,"$100,000"
2021,,6.50%,"$200,000"
2021,,6.90%,"$250,000"
2021,,6.99%,"$500,000"
2021,,,
2021,Delaware,2.20%,"$2,000"
2021,"(a, i, n, t)",3.90%,"$5,000"
2021,,4.80%,"$10,000"
2021,,5.20%,"$20,000"
2021,,5.55%,"$25,000"
2021,,6.60%,"$60,000"
2021,,,
2021,Florida,none,n.a.
2021,,,
2021,Georgia,1.00%,$0
2021,(u),2.00%,$750
2021,,3.00%,"$2,250"
2021,,4.00%,"$3,750"
2021,,5.00%,"$5,250"
2021,,5.75%,"$7,000"
2021,,,
2021,Hawaii,1.40%,$0
2021,"(n, v)",3.20%,"$2,400"
2021,,5.50%,"$4,800"
2021,,6.40%,"$9,600"
2021,,6.80%,"$14,400"
2021,,7.20%,"$19,200"
2021,,7.60%,"$24,000"
2021,,7.90%,"$36,000"
2021,,8.25%,"$48,000"
2021,,9.00%,"$150,000"
2021,,10.00%,"$175,000"
2021,,11.00%,"$200,000"
2021,,,
2021,Idaho,1.13%,$0
2021,"(k, n, w)",3.13%,"$1,568"
2021,,3.63%,"$3,136"
2021,,4.63%,"$4,704"
2021,,5.63%,"$6,272"
2021,,6.63%,"$7,840"
2021,,6.93%,"$11,760"
2021,,,
2021,Illinois ,4.95%,$0
2021,"(n, o, x)",,
2021,,,
2021,Indiana,3.23%,$0
2021,"(a, n, y)",,
2021,,,
2021,Iowa,0.33%,$0
2021,"(a, b, e, i, dd)",0.67%,"$1,676"
2021,,2.25%,"$3,352"
2021,,4.14%,"$6,704"
2021,,5.63%,"$15,084"
2021,,5.96%,"$25,140"
2021,,6.25%,"$33,520"
2021,,7.44%,"$50,280"
2021,,8.53%,"$75,420"
2021,,,
2021,Kansas,3.10%,$0
2021,"(a, n)",5.25%,"$15,000"
2021,,5.70%,"$30,000"
2021,,,
2021,Kentucky,5.00%,$0
2021,"(a, e)",,
2021,,,
2021,Louisiana,2.00%,$0
2021,"(b, z)",4.00%,"$12,500"
2021,,6.00%,"$50,000"
2021,,,
2021,Maine,5.80%,$0
2021,"(w, aa, dd)",6.75%,"$22,450"
2021,,7.15%,"$53,150"
2021,,,
2021,Maryland,2.00%,$0
2021,"(a, n, o, bb, cc)",3.00%,"$1,000"
2021,,4.00%,"$2,000"
2021,,4.75%,"$3,000"
2021,,5.00%,"$100,000"
2021,,5.25%,"$125,000"
2021,,5.50%,"$150,000"
2021,,5.75%,"$250,000"
2021,,,
2021,Massachusetts,5.00%,$0
2021,,,
2021,Michigan,4.25%,$0
2021,"(a, n)",,
2021,,,
2021,Minnesota,5.35%,$0
2021,"(e, dd, ee)",6.80%,"$27,230"
2021,,7.85%,"$89,440"
2021,,9.85%,"$166,040"
2021,,,
2021,Mississippi,3.00%,"$4,000"
2021,,4.00%,"$5,000"
2021,,5.00%,"$10,000"
2021,,,
2021,Missouri,1.50%,$107
2021,"(a, b, k, n, w)",2.00%,"$1,073"
2021,,2.50%,"$2,146"
2021,,3.00%,"$3,219"
2021,,3.50%,"$4,292"
2021,,4.00%,"$5,365"
2021,,4.50%,"$6,438"
2021,,5.00%,"$7,511"
2021,,5.40%,"$8,584"
2021,,,
2021,Montana,1.00%,$0
2021,"(b, k, o, ff)",2.00%,"$3,100"
2021,,3.00%,"$5,500"
2021,,4.00%,"$8,400"
2021,,5.00%,"$11,300"
2021,,6.00%,"$14,500"
2021,,6.90%,"$18,700"
2021,,,
2021,Nebraska,2.46%,$0
2021,"(e, i, n, dd)",3.51%,"$3,340"
2021,,5.01%,"$19,990"
2021,,6.84%,"$32,210"
2021,,,
2021,Nevada,none,n.a.
2021,,,
2021,New Hampshire,5.00%,$0
2021,(gg),,
2021,,,
2021,New Jersey,1.40%,$0
2021,(a),1.75%,"$20,000"
2021,,3.50%,"$35,000"
2021,,5.53%,"$40,000"
2021,,6.37%,"$75,000"
2021,,8.97%,"$500,000"
2021,,10.75%,"$1,000,000"
2021,,,
2021,,,
2021,New Mexico,1.70%,$0
2021,"(n, nn)",3.20%,"$5,500"
2021,,4.70%,"$11,000"
2021,,4.90%,"$16,000"
2021,,5.90%,"$210,000"
2021,,,
2021,New York,4.00%,$0
2021,"(a, j)",4.50%,"$8,500"
2021,,5.25%,"$11,700"
2021,,5.90%,"$13,900"
2021,,5.97%,"$21,400"
2021,,6.33%,"$80,650"
2021,,6.85%,"$215,400"
2021,,8.82%,"$1,077,550"
2021,,,
2021,North Carolina,5.25%,$0
2021,,,
2021,North Dakota,1.10%,$0
2021,"(k, p, w)",2.04%,"$40,125"
2021,,2.27%,"$97,150"
2021,,2.64%,"$202,650"
2021,,2.90%,"$440,600"
2021,,,
2021,Ohio,2.85%,"$22,150"
2021,"(a, k, o, hh)",3.33%,"$44,250"
2021,,3.80%,"$88,450"
2021,,4.41%,"$110,650"
2021,,4.80%,"$221,300"
2021,,,
2021,Oklahoma,0.50%,$0
2021,(n),1.00%,"$1,000"
2021,,2.00%,"$2,500"
2021,,3.00%,"$3,750"
2021,,4.00%,"$4,900"
2021,,5.00%,"$7,200"
2021,,,
2021,Oregon,4.75%,$0
2021,"(a, b, i, n, o, ii, dd)",6.75%,"$3,650"
2021,,8.75%,"$9,200"
2021,,9.90%,"$125,000"
2021,,,
2021,Pennsylvania,3.07%,$0
2021,(a),,
2021,,,
2021,Rhode Island,3.75%,$0
2021,"(e, dd, jj)",4.75%,"$66,200"
2021,,5.99%,"$150,550"
2021,,,
2021,South Carolina,0.00%,$0
2021,"(k, o, p, w)",3.00%,"$3,070"
2021,,4.00%,"$6,150"
2021,,5.00%,"$9,230"
2021,,6.00%,"$12,310"
2021,,7.00%,"$15,400"
2021,,,
2021,South Dakota,none,n.a.
2021,,,
2021,Tennessee,none,n.a.
2021,,,
2021,Texas,none,n.a.
2021,,,
2021,Utah ,4.95%,$0
2021,"(i, o, kk)",,
2021,,,
2021,Vermont,3.35%,$0
2021,"(k, o, ll)",6.60%,"$40,350"
2021,,7.60%,"$97,800"
2021,,8.75%,"$204,000"
2021,,,
2021,Virginia,2.00%,$0
2021,(n),3.00%,"$3,000"
2021,,5.00%,"$5,000"
2021,,5.75%,"$17,000"
2021,,,
2021,Washington,none,n.a.
2021,,,
2021,West Virginia,3.00%,$0
2021,"(a, n)",4.00%,"$10,000"
2021,,4.50%,"$25,000"
2021,,6.00%,"$40,000"
2021,,6.50%,"$60,000"
2021,,,
2021,Wisconsin,3.54%,$0
2021,"(n, o, dd, mm)",4.65%,"$12,120"
2021,,6.27%,"$24,250"
2021,,7.65%,"$266,930"
2021,,,
2021,Wyoming,none,n.a.
2021,,,
2021,,4.00%,$0
2021,(w),6.00%,"$10,000"
2021,,6.50%,"$40,000"
2021,,8.50%,"$60,000"
2021,,8.75%,"$350,000"
2021,,8.95%,"$1,000,000"
2021,,,
2021,,,
2021,"(a) Local income taxes are excluded. Eleven states have county- or city-level income taxes; the average rates expressed as a percentage of AGI within each jurisdiction are: 0.10% in Alabama; 0.36% in Indiana; 0.11% in Iowa; 1.29% in Kentucky; 2.18% in Maryland; 0.17% in Michigan; 0.22% in Missouri; 1.47% in New York; 1.59% in Ohio; and 1.15% in Pennsylvania. Data are not available in Delaware, where Wilmington imposes a municipal income tax. In California, Colorado, Kansas, New Jersey, Oregon, and West Virginia, some jurisdictions have payroll taxes, flat-rate wage taxes, or interest and dividend income taxes. See Jared Walczak, “Local Income Taxes in 2019,” Tax Foundation, July 30, 2019, https://taxfoundation.org/local-income-taxes-2019/.",,
2020,"(a, b, c)",4.00%,$500
2020,,5.00%,"$3,000"
2020,,,
2020,Alaska,none,n.a.
2020,,,
2020,Arizona,2.59%,$0
2020,"(d, e, f, g)",3.34%,"$26,500"
2020,,4.17%,"$53,000"
2020,,4.50%,"$159,000"
2020,,,
2020,Arkansas,2.00%,$0
2020,"(d, h, i, j)",4.00%,"$4,000"
2020,,5.90%,"$8,000"
2020,,6.60%,"$79,300"
2020,,,
2020,California,1.00%,$0
2020,"(a, i, k, l, m, n, o)",2.00%,"$8,809"
2020,,4.00%,"$20,883"
2020,,6.00%,"$32,960"
2020,,8.00%,"$45,753"
2020,,9.30%,"$57,824"
2020,,10.30%,"$295,373"
2020,,11.30%,"$354,445"
2020,,12.30%,"$590,742"
2020,,13.30%,"$1,000,000"
2020,,,
2020,Colorado,4.63%,$0
2020,,,
2020,Connecticut,3.00%,$0
2020,"(j, q, r, s)",5.00%,"$10,000"
2020,,5.50%,"$50,000"
2020,,6.00%,"$100,000"
2020,,6.50%,"$200,000"
2020,,6.90%,"$250,000"
2020,,6.99%,"$500,000"
2020,,,
2020,Delaware,2.20%,"$2,000"
2020,"(a, i, n, t)",3.90%,"$5,000"
2020,,4.80%,"$10,000"
2020,,5.20%,"$20,000"
2020,,5.55%,"$25,000"
2020,,6.60%,"$60,000"
2020,,,
2020,Florida,none,n.a.
2020,,,
2020,Georgia,1.00%,$0
2020,(u),2.00%,$750
2020,,3.00%,"$2,250"
2020,,4.00%,"$3,750"
2020,,5.00%,"$5,250"
2020,,5.75%,"$7,000"
2020,,,
2020,Hawaii,1.40%,$0
2020,"(n, v)",3.20%,"$2,400"
2020,,5.50%,"$4,800"
2020,,6.40%,"$9,600"
2020,,6.80%,"$14,400"
2020,,7.20%,"$19,200"
2020,,7.60%,"$24,000"
2020,,7.90%,"$36,000"
2020,,8.25%,"$48,000"
2020,,9.00%,"$150,000"
2020,,10.00%,"$175,000"
2020,,11.00%,"$200,000"
2020,,,
2020,Idaho,1.13%,$0
2020,"(k, p, w)",3.13%,"$1,541"
2020,,3.63%,"$3,081"
2020,,4.63%,"$4,622"
2020,,5.63%,"$6,162"
2020,,6.63%,"$7,703"
2020,,6.93%,"$11,554"
2020,,,
2020,Illinois,4.95%,$0
2020,"(n, o, x)",,
2020,,,
2020,Indiana,3.23%,$0
2020,"(a, n, y)",,
2020,,,
2020,Iowa,0.33%,$0
2020,"(a, b, i, k)",0.67%,"$1,638"
2020,,2.25%,"$3,276"
2020,,4.14%,"$6,552"
2020,,5.63%,"$14,742"
2020,,5.96%,"$24,570"
2020,,6.25%,"$32,760"
2020,,7.44%,"$49,140"
2020,,8.53%,"$73,710"
2020,,,
2020,Kansas,3.10%,$0
2020,"(a, n)",5.25%,"$15,000"
2020,,5.70%,"$30,000"
2020,,,
2020,Kentucky,5.00%,$0
2020,"(a, i)",,
2020,,,
2020,Louisiana,2.00%,$0
2020,"(b, z)",4.00%,"$12,500"
2020,,6.00%,"$50,000"
2020,,,
2020,Maine,5.80%,$0
2020,"(k, w, dd)",6.75%,"$22,200"
2020,,7.15%,"$52,600"
2020,,,
2020,Maryland,2.00%,$0
2020,"(a, n, bb, cc)",3.00%,"$1,000"
2020,,4.00%,"$2,000"
2020,,4.75%,"$3,000"
2020,,5.00%,"$100,000"
2020,,5.25%,"$125,000"
2020,,5.50%,"$150,000"
2020,,5.75%,"$250,000"
2020,,,
2020,Massachusetts,5.00%,$0
2020,,,
2020,Michigan,4.25%,$0
2020,(a),,
2020,,,
2020,Minnesota,5.35%,$0
2020,"(dd, ee)",6.80%,"$26,960"
2020,,7.85%,"$88,550"
2020,,9.85%,"$164,400"
2020,,,
2020,Mississippi,3.00%,"$3,000"
2020,,4.00%,"$5,000"
2020,,5.00%,"$10,000"
2020,,,
2020,Missouri,1.50%,$105
2020,"(a, b, k, n, w)",2.00%,"$1,053"
2020,,2.50%,"$2,106"
2020,,3.00%,"$3,159"
2020,,3.50%,"$4,212"
2020,,4.00%,"$5,265"
2020,,4.50%,"$6,318"
2020,,5.00%,"$7,371"
2020,,5.40%,"$8,424"
2020,,,
2020,Montana,1.00%,$0
2020,"(b, k, ff)",2.00%,"$3,100"
2020,,3.00%,"$5,400"
2020,,4.00%,"$8,200"
2020,,5.00%,"$11,100"
2020,,6.00%,"$14,300"
2020,,6.90%,"$18,400"
2020,,,
2020,Nebraska,2.46%,$0
2020,"(i, n)",3.51%,"$3,290"
2020,,5.01%,"$19,700"
2020,,6.84%,"$31,750"
2020,,,
2020,Nevada,none,n.a.
2020,,,
2020,,5.00%,$0
2020,(gg),,
2020,,,
2020,New Jersey,1.40%,$0
2020,(a),1.75%,"$20,000"
2020,,3.50%,"$35,000"
2020,,5.53%,"$40,000"
2020,,6.37%,"$75,000"
2020,,8.97%,"$500,000"
2020,,10.75%,"$5,000,000"
2020,,,
2020,,,
2020,New Mexico,1.70%,$0
2020,,3.20%,"$5,500"
2020,,4.70%,"$11,000"
2020,,4.90%,"$16,000"
2020,,,
2020,New York,4.00%,$0
2020,"(a, j, n)",4.50%,"$8,500"
2020,,5.25%,"$11,700"
2020,,5.90%,"$13,900"
2020,,6.21%,"$21,400"
2020,,6.49%,"$80,650"
2020,,6.85%,"$215,400"
2020,,8.82%,"$1,077,550"
2020,,,
2020,North Carolina,5.25%,$0
2020,,,
2020,North Dakota,1.10%,$0
2020,"(k, p, w)",2.04%,"$39,450"
2020,,2.27%,"$95,500"
2020,,2.64%,"$199,250"
2020,,2.90%,"$433,200"
2020,,,
2020,Ohio,2.85%,"$21,750"
2020,"(a, hh)",3.33%,"$43,450"
2020,,3.80%,"$86,900"
2020,,4.41%,"$108,700"
2020,,4.80%,"$217,400"
2020,,,
2020,Oklahoma,0.50%,$0
2020,(n),1.00%,"$1,000"
2020,,2.00%,"$2,500"
2020,,3.00%,"$3,750"
2020,,4.00%,"$4,900"
2020,,5.00%,"$7,200"
2020,,,
2020,Oregon,4.75%,$0
2020,"(a, b, i, n, o, ii, dd)",6.75%,"$3,600"
2020,,8.75%,"$9,050"
2020,,9.90%,"$125,000"
2020,,,
2020,Pennsylvania,3.07%,$0
2020,(a),,
2020,,,
2020,Rhode Island,3.75%,$0
2020,"(e, dd, jj)",4.75%,"$65,250"
2020,,5.99%,"$148,350"
2020,,,
2020,South Carolina,0.00%,$0
2020,"(p, w, dd)",3.00%,"$3,070"
2020,,4.00%,"$6,150"
2020,,5.00%,"$9,230"
2020,,6.00%,"$12,310"
2020,,7.00%,"$15,400"
2020,,,
2020,South Dakota,none,n.a.
2020,,,
2020,Tennessee,1.00%,$0
2020,(gg),,
2020,,,
2020,Texas,none,n.a.
2020,,,
2020,Utah ,4.95%,$0
2020,"(kk, ll)",,
2020,,,
2020,Vermont,3.35%,$0
2020,"(k, mm)",6.60%,"$39,600"
2020,,7.60%,"$96,000"
2020,,8.75%,"$200,200"
2020,,,
2020,Virginia,2.00%,$0
2020,(n),3.00%,"$3,000"
2020,,5.00%,"$5,000"
2020,,5.75%,"$17,000"
2020,,,
2020,Washington,none,n.a.
2020,,,
2020,West Virginia,3.00%,$0
2020,"(a, n)",4.00%,"$10,000"
2020,,4.50%,"$25,000"
2020,,6.00%,"$40,000"
2020,,6.50%,"$60,000"
2020,,,
2020,Wisconsin,4.00%,$0
2020,"(n, dd, nn)",5.21%,"$11,970"
2020,,6.27%,"$23,930"
2020,,7.65%,"$263,480"
2020,,,
2020,Wyoming,none,n.a.
2020,,,
2020,,4.00%,$0
2020,(w),6.00%,"$10,000"
2020,,6.50%,"$40,000"
2020,,8.50%,"$60,000"
2020,,8.75%,"$350,000"
2020,,8.95%,"$1,000,000"
2020,,,
2020,"(a) Local income taxes are excluded. Eleven states have county- or city-level income taxes; the average rates expressed as a percentage of AGI within each jurisdiction are: 0.10% in Alabama; 0.19% in Delaware; 0.73% in Indiana; 0.11% in Iowa; 1.29% in Kentucky; 2.28% in Maryland; 0.17% in Michigan; 0.23% in Missouri; 1.49% in New York; 1.56% in Ohio; and 1.21% in Pennsylvania. In California, Colorado, Kansas, New Jersey, Oregon, and West Virginia, some jurisdictions have payroll taxes, flat-rate wage taxes, or interest and dividend income taxes. See Jared Walczak, “Local Income Taxes in 2019,” Tax Foundation, July 30, 2019, https://taxfoundation.org/local-income-taxes-2019/.",,
2020,(b) These states allow some or all of federal income tax paid to be deducted from state taxable income.,,
2020,"(c) For single taxpayers with AGI below $23,000, the standard deduction is $2,500. This standard deduction amount is reduced by $25 for every additional $500 of AGI, not to fall below $2,000. For Married Filing Joint (MFJ) taxpayers with AGI below $23,000, the standard deduction is $7,500. This standard deduction amount is reduced by $175 for every additional $500, not to fall below $4,000. For all taxpayers claiming a dependent with AGI of $20,000 or less, the dependent exemption is $1,000. This amount is reduced to $500 per dependent for taxpayers with AGI above $20,000 and equal to or less than $100,000. For taxpayers with over $100,000 AGI, the dependent exemption is $300 per dependent.",,
2019,"(b, f, gg)",4.00%,$500
2019,,5.00%,"$3,000"
2019,,,
2019,Alaska,none,n.a.
2019,,,
2019,Ariz.,2.59%,$0
2019,"(e, h)",3.34%,"$26,500"
2019,,4.17%,"$53,000"
2019,,4.50%,"$159,000"
2019,,,
2019,Ark.,0.90%,$0
2019,"(d, e, r, bb)",2.50%,"$4,500"
2019,,3.50%,"$8,900"
2019,,4.50%,"$13,400"
2019,,5.00%,"$22,200"
2019,,6.90%,"$37,200"
2019,,,
2019,Calif.,1.00%,$0
2019,"(a, e, r, s, ff, hh)",2.00%,"$8,544"
2019,,4.00%,"$20,255"
2019,,6.00%,"$31,969"
2019,,8.00%,"$44,377"
2019,,9.30%,"$56,085"
2019,,10.30%,"$286,492"
2019,,11.30%,"$343,788"
2019,,12.30%,"$572,980"
2019,,13.30%,"$1,000,000"
2019,,,
2019,Colo.,4.63%,$0
2019,,,
2019,Conn.,3.00%,$0
2019,"(t, u, bb)",5.00%,"$10,000"
2019,,5.50%,"$50,000"
2019,,6.00%,"$100,000"
2019,,6.50%,"$200,000"
2019,,6.90%,"$250,000"
2019,,6.99%,"$500,000"
2019,,,
2019,Del.,2.20%,"$2,000"
2019,"(r, v, gg, hh)",3.90%,"$5,000"
2019,,4.80%,"$10,000"
2019,,5.20%,"$20,000"
2019,,5.55%,"$25,000"
2019,,6.60%,"$60,000"
2019,,,
2019,Fla.,none,n.a.
2019,,,
2019,Ga.,1.00%,$0
2019,,2.00%,$750
2019,,3.00%,"$2,250"
2019,,4.00%,"$3,750"
2019,,5.00%,"$5,250"
2019,,5.75%,"$7,000"
2019,,,
2019,Hawaii,1.40%,$0
2019,"(w, hh)",3.20%,"$2,400"
2019,,5.50%,"$4,800"
2019,,6.40%,"$9,600"
2019,,6.80%,"$14,400"
2019,,7.20%,"$19,200"
2019,,7.60%,"$24,000"
2019,,7.90%,"$36,000"
2019,,8.25%,"$48,000"
2019,,9.00%,"$150,000"
2019,,10.00%,"$175,000"
2019,,11.00%,"$200,000"
2019,,,
2019,Idaho,1.13%,$0
2019,"(e, p, z)",3.13%,"$1,541"
2019,,3.63%,"$3,081"
2019,,4.63%,"$4,622"
2019,,5.63%,"$6,162"
2019,,6.63%,"$7,703"
2019,,6.93%,"$11,554"
2019,,,
2019,"Ill. (dd, hh)",4.95%,$0
2019,,,
2019,Ind.,3.23%,$0
2019,"(x, gg, hh)",,
2019,,,
2019,Iowa,0.33%,$0
2019,"(e, f, r, gg)",0.67%,"$1,638"
2019,,2.25%,"$3,276"
2019,,4.14%,"$6,552"
2019,,5.63%,"$14,742"
2019,,5.96%,"$24,570"
2019,,6.25%,"$32,760"
2019,,7.44%,"$49,140"
2019,,8.53%,"$73,710"
2019,,,
2019,Kans. (hh),3.10%,$0
2019,,5.25%,"$15,000"
2019,,5.70%,"$30,000"
2019,,,
2019,Ky.,5.00%,$0
2019,"(gg, ii)",,
2019,,,
2019,La.,2.00%,$0
2019,"(f, n)",4.00%,"$12,500"
2019,,6.00%,"$50,000"
2019,,,
